COD_DANE,NOMBRE_MUNI,POB_TOTAL,POB_15_19,POB_15_24,PCT_MUJERES_15_24,PCT_RURAL,N_MATRIC_VIVE,PCT_MUJERES_MATRIC,N_MATRIC_NACE,N_BENEF,PCT_VICTIMAS_BENEF,PROM_GLOBAL_SABER,PROM_MATEMATICAS_SABER,PROM_LECTURA_SABER,N_EVALUADOS,EVALUADOS_POR_PERIODO,BRECHA_OFICIAL_SABER,BRECHA_GENERO_SABER,NOM_MPIO,longitud,latitud,TASA_MATRIC_VIVE,TASA_MATRIC_NACE,TASA_BENEF,BRECHA_GENERO_MATRIC
05101,CIUDAD BOLIVAR,23361,2109,3862,47.74728120145003,36.80921193442062,54,46.2962962962963,87,108,4.62962962962963,236.12941176470588,48.09915966386555,51.01848739495799,1190,595.0,-11.543192918192915,-16.145094562647756,CIUDAD BOLIVAR,-76.021509,5.850273,13.982392542723977,22.52718798549974,51.209103840682786,-1.4509849051537316
05107,BRICENO,5946,599,1110,48.28828828828829,58.69492095526404,2,50.0,4,105,41.904761904761905,223.2921348314607,45.157303370786515,48.07865168539326,178,89.0,,12.894652406417123,BRICENO,-75.55036,7.112803,1.8018018018018018,3.6036036036036037,175.29215358931552,1.7117117117117076
05113,BURITICA,7409,749,1423,47.294448348559385,72.46591982723714,10,50.0,9,129,28.68217054263566,219.25595238095238,42.857142857142854,47.458333333333336,336,168.0,,-22.244730490748196,BURITICA,-75.907,6.720759,7.027406886858748,6.324666198172874,172.22963951935915,2.705551651440615
05120,CACERES,26460,2940,5125,45.112195121951224,80.1058201058201,89,55.0561797752809,69,150,38.666666666666664,214.5730427764326,42.52945924132365,46.196125907990314,1239,413.0,,-12.5780006567785,CACERES,-75.35205,7.578366,17.365853658536587,13.463414634146341,51.02040816326531,9.943984653329679
05125,CAICEDO,7018,707,1286,48.67807153965785,78.48389854659446,0,,1,74,9.45945945945946,215.8403361344538,43.214285714285715,46.29831932773109,476,238.0,,-7.684484812388348,CAICEDO,-75.98293,6.405607,0.0,0.7776049766718507,104.66760961810468,
05129,CALDAS,76260,5625,12542,49.880401849784725,19.349593495934958,2,50.0,14,30,0.0,252.68631921824104,51.68957654723127,54.0472312703583,3070,1023.3333333333334,16.38190223261938,-9.674827407990335,CALDAS,-75.633673,6.091077,0.15946420028703556,1.116249402009249,5.333333333333333,0.11959815021527476
05134,CAMPAMENTO,7432,818,1438,46.87065368567455,68.27233584499461,21,57.14285714285714,12,143,6.293706293706294,225.2012195121951,45.640243902439025,48.84146341463415,328,164.0,,5.253700461562943,CAMPAMENTO,-75.298091,6.979771,14.603616133518775,8.344923504867872,174.8166259168704,10.272203457182592
05138,CANASGORDAS,13595,1307,2394,49.54051796157059,64.95034939315924,5,60.0,8,116,24.137931034482758,218.38202247191012,43.29438202247191,47.31460674157304,890,445.0,,-2.98100949525238,CANASGORDAS,-76.028228,6.753859,2.0885547201336676,3.341687552213868,88.75286916602907,10.459482038429407
05142,CARACOLI,3967,294,580,47.93103448275862,38.41693975296194,4,75.0,5,108,10.185185185185185,223.07766990291262,45.62135922330097,47.9126213592233,206,103.0,,-13.922959572845173,CARACOLI,-74.757421,6.409829,6.896551724137931,8.620689655172413,367.34693877551024,27.06896551724138
05145,CARAMANTA,4269,334,607,47.94069192751236,54.41555399390958,0,,0,25,12.0,228.76923076923077,46.62637362637363,48.79120879120879,182,91.0,,14.044003868471975,CARAMANTA,-75.643868,5.54853,0.0,0.0,74.8502994011976,
05147,CAREPA,45936,5363,9747,47.173489278752434,31.13026819923372,330,62.42424242424243,175,291,53.95189003436426,231.79319258940112,47.691081430417924,49.98061180525635,2321,773.6666666666666,,-8.830310688850943,CAREPA,-76.652652,7.755148,33.856571252693136,17.95424233097363,54.260674995338434,15.250753145489995
05148,EL CARMEN DE VIBORAL,53949,4599,9723,49.68631080942096,38.947895234388035,371,66.84636118598382,135,63,15.873015873015872,266.41257668711654,54.355828220858896,56.33665644171779,2608,1304.0,10.24428709025284,-14.539936041239116,EL CARMEN DE VIBORAL,-75.333901,6.082885,38.15694744420446,13.88460351743289,13.698630136986301,17.160050376562864
