SEDE,FACULTAD,NOMBRE_MUNI_VIVE,PROGRAMA,PROB_RIESGO,DECIL_RIESGO
CARMENVI,FACULTAD DE CIENCIAS ECONOMICAS,EL PENOL,DESARROLLO TERRITORIAL- CARMEN DE VIBORAL,0.9573,10
MEDELLIN,FACULTAD DE INGENIERIA,CHIGORODO,INGENIERIA DE SISTEMAS - REGION,0.9572,10
CAREPA,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA AGROINDUSTRIAL-URABA,0.9556,10
CAREPA,FACULTAD DE INGENIERIA,CAREPA,INGENIERIA BIOQUIMICA-URABA,0.9551,10
APARTADO,FACULTAD DE INGENIERIA,NECOCLI,INGENIERIA SANITARIA-APARTADO,0.9551,10
MEDELLIN,FACULTAD DE INGENIERIA,TURBO,INGENIERIA AMBIENTAL REGION,0.9543,10
MEDELLIN,FACULTAD DE INGENIERIA,TURBO,INGENIERIA AMBIENTAL REGION,0.9542,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA INDUSTRIAL REGION,0.9541,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA AMBIENTAL REGION,0.9538,10
MEDELLIN,FACULTAD DE INGENIERIA,TURBO,INGENIERIA DE SISTEMAS - REGION,0.9538,10
MEDELLIN,FACULTAD DE INGENIERIA,NECOCLI,INGENIERIA AMBIENTAL REGION,0.9537,10
APARTADO,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA SANITARIA-APARTADO,0.9531,10
MEDELLIN,FACULTAD DE INGENIERIA,CAREPA,INGENIERIA INDUSTRIAL REGION,0.9526,10
CAREPA,FACULTAD DE INGENIERIA,CAREPA,INGENIERIA BIOQUIMICA-URABA,0.9526,10
CAREPA,FACULTAD DE INGENIERIA,CAREPA,INGENIERIA AGROINDUSTRIAL-URABA,0.9515,10
CAREPA,FACULTAD DE INGENIERIA,CHIGORODO,INGENIERIA BIOQUIMICA-URABA,0.951,10
TURBO,FACULTAD DE CIENCIAS EXACTAS Y NATURALES,TURBO,ECOLOGIA DE ZONAS COSTERAS - TURBO,0.951,10
CAUCASIA,FACULTAD DE DERECHO Y CIENCIAS POLITICAS,EL BAGRE,DERECHO - CAUCASIA,0.951,10
CAREPA,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA BIOQUIMICA-URABA,0.9507,10
APARTADO,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA SANITARIA-APARTADO,0.9507,10
MEDELLIN,FACULTAD DE INGENIERIA,TURBO,INGENIERIA INDUSTRIAL REGION,0.9504,10
CAREPA,FACULTAD DE INGENIERIA,CAREPA,INGENIERIA BIOQUIMICA-URABA,0.9502,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA DE TELECOMUNICACIONES REGION,0.9501,10
TURBO,FACULTAD DE CIENCIAS FARMACEUTICAS Y ALIMENTARIAS,TURBO,TECNOLOGIA EN REGENCIA DE FARMACIA - TURBO,0.9489,10
CAREPA,FACULTAD DE INGENIERIA,CAREPA,INGENIERIA AGROINDUSTRIAL-URABA,0.9481,10
MEDELLIN,FACULTAD DE INGENIERIA,CHIGORODO,INGENIERIA DE SISTEMAS - REGION,0.948,10
MEDELLIN,FACULTAD DE INGENIERIA,TURBO,INGENIERIA AMBIENTAL REGION,0.9476,10
MEDELLIN,FACULTAD DE INGENIERIA,SAN PEDRO DE URABA,INGENIERIA DE SISTEMAS - REGION,0.9475,10
